training tokens,val loss,flops
2384185781.0336084,0.909079336821905,6e+18
2649095312.052088,0.9045992384048237,6e+18
2980232225.8029556,0.9009423942395203,6e+18
3273013512.4545913,0.9005751132323849,6e+18
3682140201.195563,0.9004649810638499,6e+18
4208160229.5242276,0.8970364167721765,6e+18
4155443625.379988,0.9028801990706157,6e+18
4986532349.790223,0.9010415131912322,6e+18
6233165436.214918,0.9006733850136034,6e+18
6152737495.161534,0.906031086930225,6e+18
